year,season,league_name,week,team_1,team_2,set_number,game_length,state,side,team,result,total_golds,total_kills,tower_kills,inhibitor_kills,baron_kills,dragon_kills,rift_kills,ban1,ban2,ban3,ban4,ban5
2020.0,spring,LLA,1,Isurus,Infinity Esports,1.0,40:05,OK,blue,ISG,   VICTORY   ,68.8k,16,  8 ,  1 ,  0 ,  4 ,  2 ,Rumble,Elise,Ornn,Gragas,Lissandra
2020.0,spring,LLA,1,Isurus,Infinity Esports,1.0,40:05,OK,red,INF,   DEFEAT   ,65.1k,5,  6 ,  0 ,  1 ,  1 ,  0 ,Syndra,Aphelios,Soraka,RekSai,Sejuani
2020.0,spring,LLA,1,Furious Gaming,All Knights,1.0,39:12,OK,blue,FG,   DEFEAT   ,66.9k,10,  3 ,  0 ,  1 ,  4 ,  0 ,Ekko,Lucian,Renekton,Mordekaiser,Zoe
2020.0,spring,LLA,1,Furious Gaming,All Knights,1.0,39:12,OK,red,AK,   VICTORY   ,72.5k,17,  7 ,  2 ,  1 ,  2 ,  2 ,Pantheon,Sett,Elise,Leblanc,Syndra
2020.0,spring,LLA,1,Azules Esports,Pixel Esports,1.0,47:48,OK,blue,UCH,   DEFEAT   ,81.0k,13,  6 ,  1 ,  2 ,  3 ,  1 ,Rumble,Soraka,Sona,Irelia,Leblanc
2020.0,spring,LLA,1,Azules Esports,Pixel Esports,1.0,47:48,OK,red,PIX,   VICTORY   ,88.6k,20,  10 ,  5 ,  1 ,  4 ,  1 ,Aphelios,Pantheon,Lucian,Camille,Renekton
2020.0,spring,LLA,1,XTEN,Rainbow7,1.0,41:28,OK,blue,XTN,   DEFEAT   ,62.3k,3,  3 ,  0 ,  0 ,  1 ,  1 ,JarvanIV,Elise,Ornn,LeeSin,Fiora
2020.0,spring,LLA,1,XTEN,Rainbow7,1.0,41:28,OK,red,R7,   VICTORY   ,74.3k,8,  9 ,  2 ,  1 ,  5 ,  1 ,Pantheon,Sett,Aphelios,Soraka,Mordekaiser
2020.0,spring,LLA,1,Infinity Esports,Rainbow7,1.0,37:50,OK,blue,INF,   VICTORY   ,67.5k,15,  9 ,  2 ,  1 ,  3 ,  1 ,Lucian,Elise,Ornn,Ryze,Karthus
2020.0,spring,LLA,1,Infinity Esports,Rainbow7,1.0,37:50,OK,red,R7,   DEFEAT   ,60.6k,9,  3 ,  0 ,  0 ,  2 ,  1 ,Pantheon,Soraka,Syndra,Aatrox,Renekton
